Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&colors[]=multi&categories[]=44,colors,Multi
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&colors[]=white&categories[]=44,colors,White
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&colors[]=black&categories[]=44,colors,Black
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&colors[]=beige&categories[]=44,colors,Beige
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&colors[]=blue&categories[]=44,colors,Blue
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&colors[]=pink&categories[]=44,colors,Pink
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&colors[]=red&categories[]=44,colors,Red
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&colors[]=brown&categories[]=44,colors,Brown
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&colors[]=purple&categories[]=44,colors,Purple
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&colors[]=green&categories[]=44,colors,Green
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&colors[]=orange&categories[]=44,colors,Orange
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&colors[]=grey&categories[]=44,colors,Grey
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&colors[]=gold&categories[]=44,colors,Gold
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&colors[]=silver&categories[]=44,colors,Silver
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&colors[]=yellow&categories[]=44,colors,Yellow
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&colors[]=turquoise&categories[]=44,colors,Turquoise
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&sleeveLengths[]=long&categories[]=44,sleeveLengths,Long
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&sleeveLengths[]=three_quarter&categories[]=44,sleeveLengths,Three_Quarter
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&sleeveLengths[]=short&categories[]=44,sleeveLengths,Short
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&sleeveLengths[]=&categories[]=44,sleeveLengths,
Clothing,Women,Western,Topwear,Tops,https://www.italist.com/api/search_products/44?skip=0&sleeveLengths[]=sleeveless&categories[]=44,sleeveLengths,Sleeveless
